intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Alma,Optum/UHC/Oscar,90833,WA,,,
Alma,Optum/UHC/Oscar,90836,WA,,,
Alma,Optum/UHC/Oscar,90838,WA,,,
Alma,Aetna,99204,AK,,,
Alma,Aetna,99205,AK,,,
Alma,Aetna,99214,AK,,,
Alma,Aetna,99215,AK,,,
Alma,Aetna,90833,AK,,,
Alma,Aetna,90836,AK,,,
Alma,Aetna,90838,AK,,,
Alma,Aetna,99204,AZ,,,
Alma,Aetna,99205,AZ,,,
Alma,Aetna,99214,AZ,,,
Alma,Aetna,99215,AZ,,,
Alma,Aetna,90833,AZ,,,
Alma,Aetna,90836,AZ,,,
Alma,Aetna,90838,AZ,,,
Alma,Aetna,99204,CO,,,
Alma,Aetna,99205,CO,,,
Alma,Aetna,99214,CO,,,
Alma,Aetna,99215,CO,,,
Alma,Aetna,90833,CO,,,
Alma,Aetna,90836,CO,,,
Alma,Aetna,90838,CO,,,
Alma,Aetna,99204,DC,,,
Alma,Aetna,99205,DC,,,
Alma,Aetna,99214,DC,,,
Alma,Aetna,99215,DC,,,
Alma,Aetna,90833,DC,,,
Alma,Aetna,90836,DC,,,
Alma,Aetna,90838,DC,,,
Alma,Aetna,99204,FL,,,
Alma,Aetna,99205,FL,,,
Alma,Aetna,99214,FL,,,
Alma,Aetna,99215,FL,,,
Alma,Aetna,90833,FL,,,
Alma,Aetna,90836,FL,,,
Alma,Aetna,90838,FL,,,
Alma,Aetna,99204,IA,,,
Alma,Aetna,99205,IA,,,
Alma,Aetna,99214,IA,,,
Alma,Aetna,99215,IA,,,
Alma,Aetna,90833,IA,,,
Alma,Aetna,90836,IA,,,
Alma,Aetna,90838,IA,,,
Alma,Aetna,99204,MD,,,
Alma,Aetna,99205,MD,,,
Alma,Aetna,99214,MD,,,
Alma,Aetna,99215,MD,,,
Alma,Aetna,90833,MD,,,
Alma,Aetna,90836,MD,,,
Alma,Aetna,90838,MD,,,
Alma,Aetna,99204,MN,,,
Alma,Aetna,99205,MN,,,
Alma,Aetna,99214,MN,,,
Alma,Aetna,99215,MN,,,
Alma,Aetna,90833,MN,,,
Alma,Aetna,90836,MN,,,
Alma,Aetna,90838,MN,,,
Alma,Aetna,99204,MT,,,
